                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9487,                 6.2405,                  1.172,                0.00276,                0.27619,                0.00215,                 0.0007,                 2.0025,                  9.339,                0.56601,                 0.0928,                 0.0008,                 0.0008
                      1,                 2.4431,                 4.2682,                0.94056,                0.00448,                0.44762,                0.00427,                0.00098,                 1.9168,                 8.9243,                0.54176,               0.084616,              0.0016158,              0.0016158
                      2,                 2.2827,                 3.0006,                0.90164,                0.00857,                0.85714,                0.01738,                0.00602,                 1.8741,                 7.8144,                0.55115,               0.076343,              0.0023426,              0.0023426
                      3,                   2.13,                 2.3842,                 0.8973,                0.00724,                0.72381,                0.01823,                0.00575,                  2.084,                 7.1007,                0.58156,                0.06798,              0.0029802,              0.0029802
                      4,                  2.135,                 1.9814,                0.89761,                0.00895,                0.89524,                0.04186,                0.01234,                 1.7267,                 6.7404,                 0.5352,               0.059529,              0.0035288,              0.0035288
                      5,                 2.1907,                 1.7787,                0.89753,                0.00867,                0.86667,                0.03779,                0.01028,                 2.1288,                 6.8416,                0.56135,               0.050988,              0.0039882,              0.0039882
                      6,                 2.0652,                 1.7521,                0.88159,                0.00876,                0.87619,                0.08608,                0.02344,                 1.9724,                 6.6318,                  0.544,               0.042359,              0.0043586,              0.0043586
                      7,                 1.9023,                 1.5182,                0.88459,                 0.0097,                0.92381,                0.38377,                0.12503,                 1.9359,                 5.4902,                0.55321,                0.03364,              0.0046399,              0.0046399
                      8,                 2.1478,                 1.6347,                0.88848,                0.01144,                0.92381,                0.39936,                0.12875,                  1.919,                 5.7305,                0.54239,               0.024832,               0.004832,               0.004832
                      9,                 1.9782,                  1.465,                0.86855,                0.01205,                0.94286,                0.41182,                 0.1305,                 1.7466,                 5.1808,                0.52259,               0.015935,              0.0049351,              0.0049351
                     10,                 2.1347,                 1.4819,                0.86631,                0.01206,                0.92381,                0.40717,                0.14117,                 1.7893,                 4.9099,                0.54024,               0.006949,               0.004949,               0.004949
                     11,                 2.0394,                 1.5534,                0.86804,                0.52654,                0.18008,                0.42438,                0.16454,                 1.6553,                 4.1094,                 0.5191,               0.004555,               0.004555,               0.004555
                     12,                 1.8026,                 1.3092,                0.84899,                0.48948,                0.28571,                0.42566,                0.15827,                 1.6749,                 3.8617,                 0.5318,               0.004555,               0.004555,               0.004555
                     13,                 1.7085,                 1.2971,                0.85223,                 0.5345,                0.39048,                0.42985,                 0.1915,                 1.5961,                 3.6444,                0.52678,                0.00406,                0.00406,                0.00406
                     14,                   1.82,                 1.2695,                 0.8505,                0.52275,                0.55238,                0.42786,                0.17628,                 1.6578,                 3.2187,                 0.5202,               0.003565,               0.003565,               0.003565
                     15,                 1.7672,                 1.2187,                0.84492,                0.52446,                 0.6381,                0.44067,                0.18042,                 1.5644,                 2.7745,                0.51841,                0.00307,                0.00307,                0.00307
                     16,                 1.6528,                 1.1929,                 0.8336,                0.53885,                0.61905,                0.42364,                0.18426,                 1.5323,                 2.5659,                0.52232,               0.002575,               0.002575,               0.002575
                     17,                 1.6121,                 1.1623,                0.83318,                0.53103,                0.66862,                0.45241,                0.19775,                  1.515,                 2.3877,                0.52221,                0.00208,                0.00208,                0.00208
                     18,                 1.4922,                 1.1193,                 0.8218,                0.52061,                0.68571,                0.46328,                0.18891,                 1.5523,                  2.407,                0.51289,               0.001585,               0.001585,               0.001585
                     19,                 1.4741,                 1.0969,                0.82924,                0.55227,                0.64762,                0.45193,                 0.2045,                 1.4631,                 2.0878,                0.51362,                0.00109,                0.00109,                0.00109
