                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.82718,                 1.2737,                0.87327,                0.86273,                0.86786,                 0.8363,                0.64538,                0.74156,                 2.9211,                0.57504,               0.070073,              0.0033252,              0.0033252
                      1,                0.81762,                  1.264,                 0.8697,                0.86215,                0.86726,                0.83391,                 0.6441,                0.72785,                 2.8037,                0.56612,               0.040018,              0.0066036,              0.0066036
                      2,                0.84683,                 1.2751,                0.87738,                0.86125,                0.87032,                 0.8394,                0.62463,                0.75049,                 2.9536,                0.57976,              0.0099083,               0.009827,               0.009827
                      3,                0.87699,                 1.3128,                0.88495,                0.86056,                0.86956,                0.83456,                0.61538,                0.82179,                 3.0039,                0.58902,              0.0097525,              0.0097525,              0.0097525
                      4,                 0.8788,                 1.3266,                 0.8886,                0.86241,                0.87182,                0.83775,                0.61954,                0.80331,                 2.9625,                 0.5817,              0.0097525,              0.0097525,              0.0097525
                      5,                0.87994,                 1.3149,                0.88571,                0.86568,                0.86965,                0.84181,                0.62622,                0.79442,                 2.9674,                0.58677,                0.00967,                0.00967,                0.00967
                      6,                0.87542,                 1.3042,                0.88535,                0.86739,                 0.8697,                0.84796,                0.64709,                0.77691,                 2.8531,                0.57493,              0.0095875,              0.0095875,              0.0095875
                      7,                0.87081,                 1.2972,                0.88534,                0.86232,                0.87153,                0.84019,                0.62685,                0.79773,                 2.7091,                0.57086,               0.009505,               0.009505,               0.009505
                      8,                0.86382,                 1.3059,                0.88219,                 0.8663,                0.87201,                 0.8414,                0.63777,                0.81413,                 2.8576,                0.57717,              0.0094225,              0.0094225,              0.0094225
                      9,                0.86044,                  1.299,                0.88141,                0.87053,                0.87445,                 0.8514,                0.64225,                0.76803,                 2.8128,                0.57534,                0.00934,                0.00934,                0.00934
                     10,                0.85661,                 1.3062,                0.88028,                0.86926,                0.86911,                0.84645,                0.64883,                0.74166,                 2.5789,                0.56507,              0.0092575,              0.0092575,              0.0092575
                     11,                0.85565,                 1.2826,                0.87971,                0.86534,                0.86706,                0.83721,                0.63792,                0.75434,                 2.7483,                0.56923,               0.009175,               0.009175,               0.009175
                     12,                0.84801,                 1.3065,                0.88145,                0.86662,                0.86644,                0.84619,                0.64612,                0.74716,                 2.8969,                0.57842,              0.0090925,              0.0090925,              0.0090925
                     13,                0.83889,                 1.3006,                0.87853,                0.86596,                 0.8719,                0.83878,                0.64479,                0.75276,                 2.9078,                0.57452,                0.00901,                0.00901,                0.00901
                     14,                0.84479,                 1.3019,                0.87944,                0.86206,                0.87124,                0.83915,                0.63789,                 0.7565,                 2.8636,                0.57456,              0.0089275,              0.0089275,              0.0089275
                     15,                 0.8378,                 1.3054,                0.87903,                 0.8644,                0.86474,                 0.8388,                0.64495,                0.74193,                 3.0213,                0.58898,               0.008845,               0.008845,               0.008845
                     16,                0.82605,                   1.31,                0.87759,                0.86779,                0.86951,                0.83613,                0.64776,                0.74266,                 2.9929,                0.58209,              0.0087625,              0.0087625,              0.0087625
