                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.67767,                0.82078,                0.79591,                0.13731,                0.10329,                0.02932,                0.01545,                 1.0845,                 1.8943,                0.52768,               0.070073,              0.0033252,              0.0033252
                      1,                0.78088,                0.89232,                0.80126,                0.01935,                0.02404,                0.00285,                0.00106,                 1.2402,                 2.6046,                 0.5413,               0.039744,              0.0063289,              0.0063289
                      2,                0.86122,                 1.0262,                0.81364,                0.00982,                0.01692,                0.00145,                0.00054,                 1.3156,                 3.0954,                0.54554,              0.0090842,              0.0090027,              0.0090027
                      3,                0.87506,                0.98254,                0.82034,                0.35312,                0.25289,                0.12397,                0.10218,                 1.1863,                 2.4943,                0.54289,               0.008515,               0.008515,               0.008515
                      4,                0.83388,                 0.9537,                0.81477,                0.10464,                0.08638,                0.01664,                0.00725,                  1.235,                 2.3789,                 0.5456,               0.008515,               0.008515,               0.008515
                      5,                0.76678,                0.90602,                 0.8072,                0.26926,                0.20392,                0.07705,                0.05476,                 1.1337,                  2.101,                0.52932,                0.00802,                0.00802,                0.00802
                      6,                0.72537,                0.90917,                0.79965,                0.39021,                 0.2805,                0.15037,                0.12739,                 1.0903,                 2.0401,                0.53098,               0.007525,               0.007525,               0.007525
                      7,                0.70145,                0.86079,                0.79255,                0.39579,                0.28762,                0.16394,                0.13739,                   1.08,                 2.1444,                0.52685,                0.00703,                0.00703,                0.00703
                      8,                0.65751,                0.86062,                 0.7951,                0.45313,                0.32413,                  0.206,                0.18256,                0.97464,                 1.9783,                0.52473,               0.006535,               0.006535,               0.006535
                      9,                0.64768,                0.84442,                 0.7932,                0.15686,                0.13357,                0.04571,                0.02996,                0.88947,                 1.9514,                0.51912,                0.00604,                0.00604,                0.00604
                     10,                0.61246,                0.84403,                 0.7861,                0.46026,                 0.3268,                0.20307,                 0.1815,                0.92916,                 2.0035,                0.52202,               0.005545,               0.005545,               0.005545
                     11,                0.60392,                0.83116,                0.78375,                 0.4435,                 0.3366,                0.21609,                0.19149,                0.86244,                  1.938,                0.51637,                0.00505,                0.00505,                0.00505
                     12,                0.59162,                0.82344,                0.78484,                0.44828,                 0.3179,                0.19643,                0.17771,                0.88172,                 1.9016,                0.51993,               0.004555,               0.004555,               0.004555
                     13,                0.56375,                0.80424,                0.78181,                0.23683,                0.18344,                0.07888,                0.05908,                0.82576,                 1.7941,                0.51345,                0.00406,                0.00406,                0.00406
                     14,                0.54195,                0.79949,                0.77539,                0.34637,                0.30454,                0.15122,                0.12954,                0.83632,                 1.8917,                 0.5149,               0.003565,               0.003565,               0.003565
                     15,                 0.5344,                0.78918,                0.77558,                0.37535,                0.32057,                0.17948,                0.15761,                0.80252,                 1.7564,                0.51472,                0.00307,                0.00307,                0.00307
                     16,                 0.5364,                0.78387,                0.77533,                0.41059,                0.34799,                0.20331,                0.18384,                0.78758,                 1.9709,                0.50955,               0.002575,               0.002575,               0.002575
                     17,                0.48935,                0.79844,                0.77446,                0.40788,                0.36242,                0.21948,                0.20027,                0.76496,                 1.8437,                0.50983,                0.00208,                0.00208,                0.00208
                     18,                0.46733,                0.76832,                0.76776,                0.40867,                0.35975,                0.22664,                0.20886,                0.77595,                 1.7394,                0.51176,               0.001585,               0.001585,               0.001585
                     19,                 0.4534,                0.74859,                0.76756,                 0.4361,                 0.3455,                0.23147,                0.21247,                0.72587,                 1.7016,                0.50537,                0.00109,                0.00109,                0.00109
