                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3973,                 1.2311,                0.90577,                0.54264,                0.48772,                0.40656,                 0.1992,                 1.2069,                 1.8844,                0.58815,                 0.0838,                 0.0018,                 0.0018
                      1,                 1.2998,                0.99668,                0.87517,                0.52421,                0.52962,                0.36901,                0.17941,                 1.2217,                 1.7089,                0.58859,               0.066663,              0.0036634,              0.0036634
                      2,                 1.2775,                 1.0003,                0.85707,                0.54262,                0.52281,                0.43608,                0.21779,                 1.1858,                 1.6617,                0.57633,               0.049489,              0.0054891,              0.0054891
                      3,                 1.3106,                0.96097,                 0.8603,                0.52946,                0.50526,                0.44133,                 0.2211,                 1.1892,                 1.8667,                0.57201,               0.032277,              0.0072772,              0.0072772
                      4,                 1.3168,                 1.0291,                0.86011,                0.52262,                0.52243,                0.43827,                0.22393,                 1.1216,                 1.9479,                 0.5667,               0.015028,              0.0090278,              0.0090278
                      5,                 1.3731,                 1.0234,                 0.8624,                0.49615,                0.50526,                0.38545,                0.17695,                 1.3756,                 2.1998,                0.58516,               0.009505,               0.009505,               0.009505
                      6,                 1.2863,                 1.1099,                 0.8649,                 0.5068,                0.53684,                 0.4339,                0.17734,                 1.4291,                 1.9765,                0.59155,               0.009505,               0.009505,               0.009505
                      7,                 1.3322,                0.98835,                0.86824,                0.51096,                0.53891,                0.40747,                0.17745,                 1.2432,                 1.9569,                0.57598,               0.009406,               0.009406,               0.009406
                      8,                 1.2987,                   1.01,                0.85509,                0.48973,                0.50176,                0.34219,                0.16026,                 1.2904,                 2.0134,                0.58301,               0.009307,               0.009307,               0.009307
                      9,                  1.314,                0.92948,                0.85874,                0.51094,                0.52632,                0.38173,                0.16407,                 1.2306,                 1.8572,                 0.5778,               0.009208,               0.009208,               0.009208
                     10,                 1.3234,                 0.9949,                0.85731,                0.54085,                0.53684,                0.40514,                0.20468,                 1.1039,                 1.6561,                0.56817,               0.009109,               0.009109,               0.009109
                     11,                 1.2678,                 0.9303,                0.85674,                0.49986,                0.51549,                0.40594,                0.19751,                 1.2466,                 1.9072,                0.58066,                0.00901,                0.00901,                0.00901
                     12,                 1.2562,                 0.9316,                0.85144,                0.51511,                0.52281,                0.39722,                0.19947,                 1.1323,                 1.9735,                0.56955,               0.008911,               0.008911,               0.008911
                     13,                  1.271,                0.93662,                0.84964,                0.50407,                0.54386,                0.38812,                0.17841,                 1.2535,                 1.6897,                0.57552,               0.008812,               0.008812,               0.008812
                     14,                 1.2479,                0.89564,                0.84343,                0.54373,                0.54386,                0.39371,                0.20373,                 1.1235,                  1.686,                0.56973,               0.008713,               0.008713,               0.008713
                     15,                 1.2252,                0.91296,                0.84349,                0.50786,                0.50175,                0.32654,                0.15837,                  1.159,                  1.734,                0.56874,               0.008614,               0.008614,               0.008614
                     16,                 1.2371,                0.88367,                0.83676,                 0.5124,                0.51228,                0.35266,                0.16893,                 1.0856,                  1.736,                0.56018,               0.008515,               0.008515,               0.008515
                     17,                 1.2275,                0.89462,                0.84186,                0.52981,                0.51228,                 0.4069,                0.19774,                 1.1455,                 1.7971,                 0.5659,               0.008416,               0.008416,               0.008416
                     18,                 1.1857,                 0.9114,                0.84457,                  0.505,                0.52632,                0.38015,                 0.1942,                 1.1475,                 1.7068,                0.56774,               0.008317,               0.008317,               0.008317
                     19,                 1.1679,                0.90648,                0.83436,                0.52989,                0.52982,                0.36809,                 0.1999,                 1.0363,                 1.6334,                0.56344,               0.008218,               0.008218,               0.008218
                     20,                 1.1989,                0.89025,                0.83092,                 0.5117,                0.54035,                0.38673,                0.19863,                 1.1367,                 1.7348,                 0.5693,               0.008119,               0.008119,               0.008119
                     21,                 1.1942,                0.86078,                0.83202,                0.53433,                0.54035,                 0.3997,                0.20068,                 1.0957,                  1.685,                0.55958,                0.00802,                0.00802,                0.00802
                     22,                 1.1708,                0.85401,                 0.8311,                0.49568,                 0.5193,                0.40486,                0.21427,                 1.1239,                 1.6511,                0.56164,               0.007921,               0.007921,               0.007921
                     23,                 1.1906,                0.84218,                0.82967,                0.52666,                0.53333,                0.43973,                0.23638,                 1.0846,                 1.6009,                0.56322,               0.007822,               0.007822,               0.007822
                     24,                 1.1455,                0.83443,                0.83137,                0.51296,                0.52281,                0.40831,                0.22337,                 1.0357,                 1.6168,                0.55797,               0.007723,               0.007723,               0.007723
                     25,                 1.1099,                0.86311,                0.82623,                 0.5078,                0.53333,                0.40121,                0.20937,                 1.1158,                 1.6431,                0.56466,               0.007624,               0.007624,               0.007624
                     26,                 1.1464,                0.84318,                0.82762,                0.50153,                 0.5193,                0.41858,                0.22192,                 1.0564,                 1.6793,                0.55894,               0.007525,               0.007525,               0.007525
                     27,                 1.1267,                0.83173,                0.82697,                0.55703,                0.55595,                0.44033,                0.26485,                0.99985,                 1.5939,                 0.5528,               0.007426,               0.007426,               0.007426
                     28,                  1.127,                0.83764,                 0.8341,                0.49554,                0.49474,                0.35591,                 0.1901,                 1.0277,                 1.6724,                0.55318,               0.007327,               0.007327,               0.007327
                     29,                 1.0941,                0.84865,                 0.8233,                 0.5024,                0.55973,                0.41473,                0.23714,                0.95965,                 1.6556,                0.55354,               0.007228,               0.007228,               0.007228
                     30,                 1.1202,                0.80595,                0.82837,                0.52046,                0.55789,                 0.4511,                0.25736,                 1.0596,                 1.6202,                0.55986,               0.007129,               0.007129,               0.007129
                     31,                  1.097,                0.84164,                0.82389,                0.51684,                0.55439,                0.39231,                0.21782,                 1.0371,                 1.5971,                 0.5594,                0.00703,                0.00703,                0.00703
