                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.50417,                0.75653,                0.77035,                0.37283,                0.32858,                0.17707,                0.15184,                0.80058,                 1.9124,                0.50427,               0.070073,              0.0033252,              0.0033252
                      1,                0.55089,                0.79368,                0.77635,                0.20222,                0.17186,                0.06215,                0.04319,                0.85761,                 1.9553,                0.49965,               0.039744,              0.0063289,              0.0063289
                      2,                 0.6069,                0.85038,                0.78212,                0.24854,                0.22084,                0.08993,                0.06611,                0.90389,                 2.0559,                0.52125,              0.0090842,              0.0090027,              0.0090027
                      3,                 0.6512,                0.87525,                0.79297,                0.35905,                0.30543,                0.15842,                0.13135,                0.95102,                 2.3319,                0.51763,               0.008515,               0.008515,               0.008515
                      4,                0.65477,                 0.9009,                0.79148,                0.21931,                0.16741,                0.07795,                0.05512,                0.94954,                 2.3293,                0.51435,               0.008515,               0.008515,               0.008515
                      5,                0.62789,                0.88776,                0.78889,                0.43722,                0.31434,                0.19173,                 0.1668,                0.87435,                 2.1243,                 0.5066,                0.00802,                0.00802,                0.00802
                      6,                0.61181,                0.89625,                0.78708,                0.33076,                0.30899,                0.15559,                0.13365,                0.91089,                 2.7194,                0.50456,               0.007525,               0.007525,               0.007525
                      7,                0.60185,                0.85698,                0.78107,                0.38631,                0.32413,                 0.1941,                0.16648,                0.84099,                 2.7343,                0.50246,                0.00703,                0.00703,                0.00703
                      8,                0.57037,                0.87238,                0.78517,                0.39122,                0.34105,                0.17774,                0.15939,                0.81123,                 2.2427,                0.49999,               0.006535,               0.006535,               0.006535
                      9,                 0.5694,                0.87221,                0.78278,                0.26999,                0.24132,                0.10289,                0.08287,                0.82651,                 3.0174,                0.49128,                0.00604,                0.00604,                0.00604
